;Company;Category;Keywords;;;;;
;Panera Bread;Food and Beverage;Panera Bread, restaurant;;;;;
;Papa John's;Food and Beverage;Papa John's, pizza;;;;;
;Paramount Global;Media;Paramount Global, media;;;;;
;Paramount Pictures;Media;Paramount Pictures, film;;;;;
;Paramount;Media;Paramount, entertainment;;;;;
;parodontax;Health;parodontax, oral care;;;;;
;Partice;Beauty;Partice, cosmetics;;;;;
;Paul Weiss;Business;Paul Weiss, law firm;;;;;
;Pedigree;Pets;Pedigree, pet food;;;;;
;Pepsi;Food and Beverage;Pepsi, beverage;;;;;
;Pepsi cola;Food and Beverage;Pepsi cola, beverage;;;;;
;Pepto Bismol;Health;Pepto Bismol, digestive;;;;;
;Perrier;Beverage;Perrier, sparkling water;;;;;
;Persil;Household;Persil, laundry detergent;;;;;
;Pershing Square;Finance;Pershing Square, finance;;;;;
;Perfect Mousse;Beauty;Perfect Mousse, hair color;;;;;
;Pert;Beauty;Pert, hair care;;;;;
;Perwoll;Household;Perwoll, laundry detergent;;;;;
;Perfect Italiano;Food and Beverage;Perfect Italiano, cheese;;;;;
;Pfizer;Health;Pfizer, pharmaceuticals;;;;;
;Phillips 66;Energy;Phillips 66, oil company;;;;;
;Pizza Hut;Food and Beverage;Pizza Hut, restaurant;;;;;
;pilao;Food and Beverage;pilao, coffee;;;;;
;Pillsbury;Food and Beverage;Pillsbury, baking;;;;;
;Pillsbury Atta;Food and Beverage;Pillsbury Atta, flour;;;;;
;PLAINS;Energy;PLAINS, oil company;;;;;
;Plenitind;Health;Plenitind, digestive;;;;;
;Plenitud;Health;Plenitud, incontinence;;;;;
;Pope1;Media;Pope1, news;;;;;
;Polident;Health;Polident, oral care;;;;;
;Poise;Health;Poise, feminine care;;;;;
;Prada;Fashion;Prada, luxury brand;;;;;
;Pravana;Beauty;Pravana, hair care;;;;;
;premier;Other;premier, top quality;;;;;
;Pret Organic Coffee;Food and Beverage;Pret Organic Coffee, coffee;;;;;
;pringles;Food and Beverage;pringles, snacks;;;;;
;Pril;Household;Pril, dishwashing;;;;;
;Primo;Food and Beverage;Primo, pasta sauce;;;;;
;Prilosec;Health;Prilosec, heartburn relief;;;;;
;protex;Health;protex, soap;;;;;
;ProViva;Health;ProViva, digestive;;;;;
;Progresso;Food and Beverage;Progresso, soup;;;;;
;Procter &Gamble;Consumer Goods;Procter &Gamble, consumer goods;;;;;
;Purina;Pets;Purina, pet food;;;;;
;Puma;Fashion;Sportswear, Athletic;;;;;
;Pure Color;Beauty;Cosmetics, Makeup;;;;;
;PVH;Fashion;Apparel, Fashion;;;;;
;PwC;Business;Consulting, Professional Services;;;;;
;Quality Street;Food and Beverage;Confectionery, Chocolates;;;;;
;qvc;Retail;Home Shopping, E-commerce;;;;;
;Raid;Household;Insecticide, Pest Control;;;;;
;Raytheon;Aerospace;Defense, Technology;;;;;
;ralah lauren;Fashion;Apparel, Fashion;;;;;
;Ralph Lauren;Fashion;Apparel, Luxury;;;;;
;rbi restaurant brands internationa;Food and Beverage;Restaurant, Fast Food;;;;;
;Real Food Blends;Food and Beverage;Nutrition, Health;;;;;
;redken;Beauty;Hair Care, Salon;;;;;
;Redken 5th Avenue NYC;Beauty;Hair Care, Salon;;;;;
;Reese's Puffs;Food and Beverage;Cereal, Snack;;;;;
;rejoice;Beauty;Hair Care, Shampoo;;;;;
;Renuzit;Household;Air Freshener, Home;;;;;
;Revlon;Beauty;Cosmetics, Makeup;;;;;
;Rexona Onnit;Health;Deodorant, Personal Care;;;;;
;River Island;Fashion;Apparel, Retail;;;;;
;rinso;Household;Laundry Detergent, Cleaning;;;;;
;Rindex;Fashion;Apparel, Clothing;;;;;
;Rowntree;Food and Beverage;Confectionery, Sweets;;;;;
;rummikub;Toys and Games;Board Game, Entertainment;;;;;
;ruffles;Food and Beverage;Snack, Chips;;;;;
;sabra;Food and Beverage;Snack, Hummus;;;;;
;Safeguard;Personal Care;Soap, Hygiene;;;;;
;Salus;Health;Supplements, Wellness;;;;;
;Salvo;Household;Cleaning, Detergent;;;;;
;sanex;Beauty;Skincare, Personal Care;;;;;
;sana;Health;Wellness, Nutrition;;;;;
;Sara Lee;Food and Beverage;Bakery, Desserts;;;;;
;Sarihusada;Food and Beverage;Dairy, Nutrition;;;;;
;Schauma;Beauty;Hair Care, Shampoo;;;;;
;Schwarzkopf;Beauty;Hair Care, Styling;;;;;
;Scorpio;Fashion;Apparel, Clothing;;;;;
;Scott;Household;Tissue, Paper Products;;;;;
;seaspa;Beauty;Skincare, Spa;;;;;
;sean john;Fashion;Apparel, Urban;;;;;
;Seah;Fashion;Apparel, Swimwear;;;;;
;Secret;Personal Care;Deodorant, Hygiene;;;;;
;sensus;Technology;Metering, Data;;;;;
;Sensodyne;Health;Oral Care, Toothpaste;;;;;
;Sequoia Capital;Finance;Venture Capital, Investments;;;;;
;Sexyhair;Beauty;Hair Care, Styling;;;;;
;Shreddies;Food and Beverage;Cereal, Breakfast;;;;;
;Shape;Fitness;Health, Exercise;;;;;
;shu uemura;Beauty;Cosmetics, Makeup;;;;;
;Shake Shack;Food and Beverage;Restaurant, Fast Food;;;;;
;Sheba;Pet Care;Cat Food, Pet Nutrition;;;;;
;Sheba;Fashion;Apparel, Clothing;;;;;
;sirma;Food and Beverage;Dairy, Milk;;;;;
;Simply Beverages;Food and Beverage;Beverages, Drinks;;;;;
;Silk Plant Power;Food and Beverage;Plant-Based, Dairy Alternatives;;;;;
;Silhouette;Fashion;Eyewear, Glasses;;;;;
;Silhouette;Beauty;Body Shape, Silhouette;;;;;
;Skydance;Entertainment;Film, Production;;;;;
;Skims;Fashion;Apparel, Shapewear;;;;;
;Skinny DIP;Fashion;Swimwear, Accessories;;;;;
;Skittles;Food and Beverage;Candy, Sweets;;;;;
;SK-II;Beauty;Skincare, Luxury;;;;;
;Smarties;Food and Beverage;Candy, Confectionery;;;;;
;smashbox;Beauty;Cosmetics, Makeup;;;;;
;Smartwater;Beverage;Water, Hydration;;;;;
;SNICKERS;Food and Beverage;Chocolate, Snack Bar;;;;;
;Snowberry;Beauty;Skincare, Natural;;;;;
;SodaStream;Beverage;Sparkling Water, DIY;;;;;
;softsheen carson;Beauty;Hair Care, Styling;;;;;
;sodastream;Beverage;Sparkling Water, DIY;;;;;
;Somat;Household;Dishwashing, Cleaning;;;;;
;Soprole;Food and Beverage;Dairy, Milk;;;;;
;Soprole;Food and Beverage;Dairy, Nutrition;;;;;
;Spotify;Music;Streaming, Entertainment;;;;;
;Sparks;Energy;Energy Drink, Beverage;;;;;
;standard;Other;General, Standard;;;;;
;STAR;Media;Entertainment, Television;;;;;
;Starbucks;Food and Beverage;Coffee, Retail;;;;;
;Starburst;Food and Beverage;Candy, Chewy Sweets;;;;;
;Star bucks;Food and Beverage;Coffee, Retail;;;;;
;Starbucks coffee;Food and Beverage;Coffee, Retail;;;;;
;Starbucks coffee;Food and Beverage;Coffee, Retail;;;;;
;structure;Other;General, Structure;;;;;
;Steak & Ale;Food and Beverage;Restaurant, Pub;;;;;
;Strauss;Food and Beverage;Dairy, Food;;;;;
;Strait Styling;Beauty;Hair Care, Styling;;;;;
;Sunkist;Beverage;Citrus, Juice;;;;;
;sun;Energy;Solar energy, Sunlight;;;;;
;superor;Other;Superior, Excellence;;;;;
;Sunsilk;Hair Care;Shampoo, Hair care;;;;;
;Subway;Food and Beverage;Sandwiches, Fast food;;;;;
;Summer Fridays;Beauty;Skincare, Beauty products;;;;;
;Supreme Keratin;Hair Care;Keratin treatment, Hair care;;;;;
;Sweetgreen;Food and Beverage;Salad, Healthy food;;;;;
;Swiffer;Household;Cleaning, Household products;;;;;
;Syoss;Hair Care;Hair styling, Professional hair care;;;;;
;Symbio Probalance;Health;Probiotics, Digestive health;;;;;
;Taco Bell;Food and Beverage;Mexican food, Fast food;;;;;
;taf toys;Toys and Games;Baby toys, Educational toys;;;;;
;Taid;Health;Dietary supplements, Health products;;;;;
;tali;Apparel;Fashion, Clothing;;;;;
;Tamara;Fashion;Women's fashion, Clothing;;;;;
;Tampax;Health;Feminine care, Menstrual products;;;;;
;Tang;Beverage;Drink mix, Fruit-flavored beverages;;;;;
;Tec italy;Hair Care;Hair products, Professional hair care;;;;;
;Tefron;Fashion;Apparel, Textiles;;;;;
;tela;Technology;Fabric, Technology;;;;;
;Tera xyl;Health;Xylitol, Sugar substitute;;;;;
;Tesla;Automotive;Electric cars, Sustainable transport;;;;;
;teva;Fashion;Footwear, Shoes;;;;;
;Teva Pharmaceutical;Health;Pharmaceuticals, Medicine;;;;;
;The Body Shop;Beauty;Skincare, Beauty products;;;;;
;The Cultured Snacking Co.;Food and Beverage;Snacks, Healthy snacks;;;;;
;The Capita Grille;Food and Beverage;Restaurant, Casual dining;;;;;
;The Ordinary;Beauty;Skincare, Beauty products;;;;;
;The Vegetarian Butcher;Food and Beverage;Plant-based, Vegetarian products;;;;;
;Thirsty Planet;Beverage;Water, Bottled water;;;;;
;Tide;Household;Laundry detergent, Cleaning;;;;;
;Timberland;Fashion;Footwear, Outdoor clothing;;;;;
;TIME;Media;Magazine, News;;;;;
;Tim Hortons;Food and Beverage;Coffee, Fast food;;;;;
;tiny love;Toys and Games;Baby toys, Developmental toys;;;;;
;Tipalti;Finance;Financial technology, Payments;;;;;
;Tip Top;Food and Beverage;Bread, Bakery products;;;;;
;Tivall;Food and Beverage;Vegetarian, Meat alternatives;;;;;
;Toblerone;Food and Beverage;Chocolate, Swiss chocolate;;;;;
;Tommy Hilfiger;Fashion;Apparel, Designer clothing;;;;;
;tom ford;Fashion;Perfume, Luxury fashion;;;;;
;Tom Ford Beauty;Beauty;Cosmetics, Luxury beauty;;;;;
;Tom Futyor Bea;Beauty;Cosmetics, Beauty products;;;;;
;Tone;Beauty;Soap, Bath and body;;;;;
;Too Faced Cosmetics;Beauty;Makeup, Cosmetics;;;;;
;Too Faced;Beauty;Makeup, Beauty products;;;;;
;topo chico;Beverage;Mineral water, Sparkling water;;;;;
;TopoChico;Beverage;Mineral water, Sparkling water;;;;;
;Tory Burch;Fashion;Women's fashion, Accessories;;;;;
;Total;Energy;Oil and gas, Energy;;;;;
;Totino's /Jeno's;Food and Beverage;Pizza rolls, Snacks;;;;;
;TOYBOX;Toys and Games;Toys, Games;;;;;
;Trix;Food and Beverage;Cereal, Breakfast;;;;;
;Turtle Mountain Dairy Free;Food and Beverage;Dairy-free, Ice cream;;;;;
;Turtle Mountain Dairy Free;Food and Beverage;Dairy-free, Ice cream;;;;;
;TWIX;Food and Beverage;Chocolate, Candy;;;;;
;UBS;Finance;Banking, Financial services;;;;;
;UPS;Logistics;Shipping, Courier services;;;;;
;Urban Decay;Beauty;Makeup, Cosmetics;;;;;
;Unilever;Consumer Goods;Consumer products, FMCG;;;;;
;Vaseline;Beauty;Skincare, Petroleum jelly;;;;;
;vanish;Household;Stain remover, Laundry;;;;;
;Vaseline;Beauty;Skincare, Petroleum jelly;;;;;
;Valentino;Fashion;Luxury fashion, Designer clothing;;;;;
;Vademecum;Health;Toothpaste, Oral care;;;;;
;vegetable &herbs;Food and Beverage;Vegetables, Herbs;;;;;
;Veolia;Environmental;Environmental services, Waste management;;;;;
;Verizon;Telecommunications;Telecom, Mobile services;;;;;
;Vega;Health;Plant-based, Protein;;;;;
;Vernel;Household;Fabric softener, Laundry;;;;;
;viber;Technology;Messaging, Communication;;;;;
;Victoria's Secret;Fashion;Lingerie, Women's fashion;;;;;
;Vichy;Beauty;skincare, cosmetics;;;;;
;Vichy Laboratories;Beauty;skincare, cosmetics;;;;;
;Vigor;Food and Beverage;dairy products, nutrition;;;;;
;VIick;Health;cold and flu, health;;;;;
;Viktor & Rolf;Fashion;luxury fashion, fragrances;;;;;
;Villavicencia;Fashion;apparel, clothing;;;;;
;Villa del Sur Movil;Food and Beverage;dairy products, beverages;;;;;
;Vim;Household;cleaning, household;;;;;
;Visa Inc.;Finance;payments, financial services;;;;;
;Vital Proteins;Health;supplements, collagen;;;;;
;Vitamin Water;Beverage;beverages, vitamin-enhanced;;;;;
;Volkswagen;Automotive;cars, vehicles;;;;;
;Vontier;Technology;technology, industrial;;;;;
;Volvic;Beverage;mineral water, beverages;;;;;
;Voltaren;Health;pain relief, pharmaceutical;;;;;
;Walmart;Retail;retail, superstore;;;;;
;Walls;Food and Beverage;ice cream, desserts;;;;;
;Wall's;Food and Beverage;ice cream, desserts;;;;;
;Walt Disney;Media;entertainment, media;;;;;
;Wallaby Organic;Food and Beverage;organic, dairy products;;;;;
;Wanchai Ferry;Food and Beverage;frozen food, Chinese cuisine;;;;;
;Warner Brothers Discovery;Media;entertainment, media;;;;;
;Waze;Technology;navigation, mapping;;;;;
;Wellw;Health;wellness, health products;;;;;
;Wells Fargo;Finance;banking, financial services;;;;;
;We Wore What;Fashion;fashion, lifestyle;;;;;
;Western Star;Automotive;trucks, vehicles;;;;;
;Whiskas;Pets;pet food, cat care;;;;;
;WhatsApp;Technology;messaging, communication;;;;;
;Wheaties;Food and Beverage;cereal, breakfast;;;;;
;Wilson;Sports;sports equipment, tennis;;;;;
;Wix;Technology;website, web development;;;;;
;Wondersoft;Household;tissue, household;;;;;
;WWE;Sports;wrestling, entertainment;;;;;
;WypAll;Household;cleaning, wipes;;;;;
;Yakult;Food and Beverage;probiotics, beverages;;;;;
;Yard House;Food and Beverage;restaurant, pub;;;;;
;Yorkie;Food and Beverage;chocolate, confectionery;;;;;
;Youth to the People;Beauty;skincare, beauty products;;;;;
;Yooji;Food and Beverage;baby food, infant nutrition;;;;;
;Yo Crunch;Food and Beverage;yogurt, snacks;;;;;
;YoCream;Food and Beverage;frozen yogurt, desserts;;;;;
;Yoki;Food and Beverage;food products, Brazilian food;;;;;
;Zest;Household;soap, personal care;;;;;
;Ziff Davis;Media;media, digital publishing;;;;;
;Zegna;Fashion;menswear, luxury fashion;;;;;
;Zywiec Zdroj;Beverage;water, beverages;;;;;
;Zovirax;Health;pharmaceutical, antiviral;;;;;
;Zotos Professional;Beauty;hair care, salon products;;;;;
